,Name,Linear Projection,SVM Projection,Lin Value Above Baseline,SVM Value Above Baseline
119,DaneSanzenbacher,4.23185611594,2.9466548746,-4.94365600212,-6.15788001852
120,JacobyJones,4.2041656258,3.0131540069,-4.97134649226,-6.09138088623
121,MarquiseGoodwin,4.17385672404,2.89639090158,-5.00165539402,-6.20814399154
122,BrandonTate,4.16353570115,3.20567680541,-5.01197641691,-5.89885808772
123,AJJenkins,4.11147101063,2.78635416642,-5.06404110743,-6.3181807267
124,GregSalas,4.06404808524,2.83023854897,-5.11146403282,-6.27429634416
125,RyanBroyles,4.06323010707,2.55441548218,-5.11228201099,-6.55011941095
126,KassimOsgood,4.01357938612,2.21678174898,-5.16193273194,-6.88775314415
127,JuniorHemingway,3.88836447289,2.80432478111,-5.28714764518,-6.30021011202
128,SeyiAjirotutu,3.76017995837,2.40921756349,-5.41533215969,-6.69531732963
129,AndreCaldwell,3.72754683892,2.53004611303,-5.44796527914,-6.5744887801
130,KeshawnMartin,3.72688012239,2.54425261182,-5.44863199567,-6.56028228131
131,RobertMeachem,3.56552798099,2.39110022757,-5.60998413708,-6.71343466556
132,DwayneHarris,3.49283806619,2.33412130748,-5.68267405188,-6.77041358565
133,CordarrellePatterson,2.93739534011,3.21111418262,-6.23811677796,-5.8934207105
