"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22848","QB","Austin","Davis","11.7","10","5400","OAK@CLE","CLE","OAK","NA","Coach's decision","",""
"14194","QB","Blaine","Gabbert","6","1","5400","SF@ARI","SF","ARI","","","",""
"14268","RB","Stevan","Ridley","8.3","6","5400","PHI@NYJ","NYJ","PHI","NA","Knee","",""
"14292","TE","Jordan","Cameron","8.5","2","5400","BUF@MIA","MIA","BUF","Q","Groin","",""
"45723","TE","Crockett","Gillmore","13.3","2","5400","CIN@BAL","BAL","CIN","","","",""
"14305","RB","Roy","Helu","0","1","5400","OAK@CLE","OAK","CLE","","","",""
"31073","RB","Knile","Davis","5.1","2","5400","KC@GB","KC","GB","","","",""
"11454","RB","Dexter","McCluster","7.6","2","5400","IND@TEN","TEN","IND","","","",""
"39649","RB","Benny","Cunningham","9.5","2","5400","PIT@STL","STL","PIT","","","",""
"22288","WR","Cole","Beasley","4.2","2","5400","ATL@DAL","DAL","ATL","","","",""
"7972","RB","Darren","Sproles","10","2","5400","PHI@NYJ","PHI","NYJ","","","",""
"6808","QB","Matt","Moore","0.3","2","5400","BUF@MIA","MIA","BUF","","","",""
"22219","WR","Jermaine","Kearse","5.8","2","5400","CHI@SEA","SEA","CHI","","","",""
"6870","TE","Vernon","Davis","7.5","2","5400","SF@ARI","SF","ARI","","","",""
"7761","TE","Jared","Cook","9.1","2","5400","PIT@STL","STL","PIT","","","",""
"28088","RB","Denard","Robinson","3.2","2","5400","JAC@NE","JAC","NE","NA","Knee","",""
"29645","RB","Javorius","Allen","2.6","2","5300","CIN@BAL","BAL","CIN","","","",""
"29685","WR","Robert","Woods","8.6","2","5300","BUF@MIA","BUF","MIA","","","",""
"29683","WR","Nelson","Agholor","2.8","2","5300","PHI@NYJ","PHI","NYJ","","","",""
"6645","WR","Marques","Colston","6.7","2","5300","NO@CAR","NO","CAR","","","",""
"6643","RB","Reggie","Bush","0.8","1","5300","SF@ARI","SF","ARI","O","Calf","",""
"6610","WR","Nate","Washington","10.7","2","5300","TB@HOU","HOU","TB","","","",""
"14237","TE","Kyle","Rudolph","9.7","2","5300","SD@MIN","MIN","SD","","","",""
"14317","TE","Julius","Thomas","11","13","5300","JAC@NE","JAC","NE","NA","Finger","",""
"38269","RB","Cameron","Artis-Payne","0","1","5300","NO@CAR","CAR","NO","","","",""
"54607","RB","Terrance","West","0.6","2","5300","IND@TEN","TEN","IND","","","",""
"26458","WR","Tavon","Austin","9.8","2","5300","PIT@STL","STL","PIT","","","",""
"31406","RB","Alfred","Blue","3.5","2","5300","TB@HOU","HOU","TB","","","",""
"11431","TE","Jermaine","Gresham","1","2","5300","SF@ARI","ARI","SF","","","",""
"11466","QB","Jimmy","Clausen","3.3","1","5300","CHI@SEA","CHI","SEA","","","",""
