,Name,Linear Projection,SVM Projection,Lin Value Above Baseline,SVM Value Above Baseline,Group,Bye,MFL,FFC,RTS,Fantrax,ADP Rank,Proj Rank,Diff
15,AnquanBoldin,12.6492039952,12.8909761466,3.47369187717,3.78644125342,0.0,10.0,98.0,98.0,116.0,102.0,26,17,9
16,EricDecker,12.5841492815,12.7549296169,3.40863716346,3.65039472381,0.0,5.0,86.0,118.0,97.0,86.0,22,18,4
19,RoddyWhite,12.1551213517,12.604387574,2.97960923362,3.49985268091,0.0,10.0,75.0,92.0,84.0,84.0,20,19,1
17,MikeWallace,12.4540093289,12.5688305268,3.27849721084,3.46429563367,0.0,5.0,74.0,91.0,79.0,71.0,19,20,-1
22,BrandonLaFell,11.6400823067,12.2162510797,2.46457018867,3.11171618655,0.0,4.0,87.0,106.0,80.0,107.0,23,21,2
20,DeAndreHopkins,11.7186006918,12.0067777805,2.5430885737,2.90224288742,0.0,9.0,30.0,30.0,37.0,27.0,10,22,-12
18,AndreJohnson,12.4319145921,11.8937078926,3.25640247406,2.78917299945,0.0,10.0,50.0,35.0,45.0,47.0,14,23,-9
21,SteveSmith,11.7037071241,11.8676265013,2.52819500605,2.76309160818,0.0,9.0,100.0,87.0,113.0,115.0,27,24,3
24,KeenanAllen,11.4475020966,11.5228593804,2.27198997857,2.41832448726,0.0,10.0,49.0,47.0,52.0,45.0,13,25,-12
23,TorreySmith,11.5595091172,11.0441966579,2.38399699911,1.93966176478,0.0,10.0,89.0,130.0,105.0,94.0,24,26,-2
31,EddieRoyal,10.5294047948,11.0404976199,1.35389267675,1.9359627268,0.0,7.0,152.0,85.0,114.0,162.0,38,27,11
29,MarquesColston,10.8301861135,10.8126313225,1.65467399549,1.70809642938,0.0,11.0,113.0,107.0,119.0,108.0,31,28,3
30,LarryFitzgerald,10.550147256,10.7955382943,1.37463513789,1.6910034012,0.0,9.0,85.0,84.0,86.0,119.0,21,29,-8
28,PierreGarcon,10.9452187983,10.7339534884,1.76970668026,1.62941859531,0.0,8.0,110.0,111.0,120.0,105.0,30,30,0
25,KendallWright,11.1395448043,10.7150813306,1.96403268625,1.61054643744,0.0,4.0,105.0,109.0,108.0,125.0,28,31,-3
26,VincentJackson,11.0510487788,10.5172977032,1.8755366607,1.41276281009,0.0,6.0,72.0,72.0,75.0,69.0,18,32,-14
36,KennyStills,9.4537131324,9.88092938072,0.278201014333,0.776394487596,2.0,5.0,120.0,145.0,134.0,139.0,32,33,-1
43,MalcomFloyd,9.02188972787,9.79589333498,-0.153622390195,0.691358441848,2.0,10.0,197.0,,219.0,259.0,45,34,11
33,JamesJones,10.0568559664,9.76131548666,0.881343848342,0.656780593529,0.0,11.0,,,310.0,297.0,56,35,21
35,RuebenRandle,9.74294134,9.72375977796,0.567429221935,0.619224884834,2.0,11.0,130.0,171.0,193.0,181.0,35,36,-1
34,GregJennings,9.90684254716,9.67994455068,0.7313304291,0.57540965755,0.0,5.0,,,291.0,258.0,57,37,20
32,MichaelFloyd,10.1122489764,9.61240493603,0.936736858305,0.507870042907,0.0,9.0,93.0,139.0,83.0,95.0,25,38,-13
37,DougBaldwin,9.4295329587,9.44077869004,0.254020840634,0.336243796915,2.0,9.0,164.0,168.0,180.0,145.0,41,39,2
38,MohamedSanu,9.34284720914,9.41303718134,0.167335091078,0.308502288216,2.0,7.0,234.0,,228.0,144.0,50,40,10
39,ReggieWayne,9.25269379301,9.3733490412,0.0771816749454,0.268814148075,2.0,4.0,204.0,161.0,194.0,,46,41,5
45,MichaelCrabtree,8.77774913963,9.10453489313,-0.397762978434,0.0,2.0,6.0,155.0,138.0,147.0,137.0,39,42,-3
41,RobertWoods,9.17551211806,9.08128045471,0.0,-0.0232544384182,2.0,8.0,,,255.0,253.0,58,43,15
42,TerranceWilliams,9.10360941643,9.03574161783,-0.07190270163,-0.068793275296,2.0,6.0,127.0,126.0,107.0,130.0,34,44,-10
52,PercyHarvin,7.80751761977,9.00748892492,-1.3679944983,-0.0970459682047,2.0,8.0,148.0,175.0,158.0,147.0,37,45,-8
44,VictorCruz,8.82594306391,8.81717190904,-0.349569054155,-0.28736298409,2.0,11.0,106.0,70.0,92.0,74.0,29,46,-17
40,HarryDouglas,9.19290165697,8.70441078816,0.017389538911,-0.400124104963,2.0,4.0,244.0,,284.0,328.0,54,47,7
46,WesWelker,8.64972136464,8.67040488865,-0.525790753419,-0.434130004481,2.0,,,,297.0,,59,48,11
50,AndrewHawkins,8.19428827323,8.55563817763,-0.981223844829,-0.548896715495,2.0,11.0,,,237.0,329.0,61,49,12
48,RileyCooper,8.53022406864,8.08896549644,-0.645288049425,-1.01556939669,2.0,8.0,,,294.0,158.0,60,50,10
49,DwayneBowe,8.36670335632,7.9901348594,-0.80880876174,-1.11440003373,2.0,11.0,161.0,,220.0,201.0,40,51,-11
47,CecilShorts,8.54907004544,7.77676556918,-0.626442072623,-1.32776932395,2.0,9.0,240.0,181.0,187.0,286.0,53,52,1
51,AndreHolmes,8.05921452095,7.77022127178,-1.11629759712,-1.33431362135,2.0,6.0,,,,288.0,62,53,9
53,JerrichoCotchery,7.6871328802,7.46699309893,-1.48837923786,-1.63754179419,2.0,5.0,,,198.0,388.0,63,54,9
57,RodStreater,7.42853971331,7.40746777803,-1.74697240476,-1.6970671151,2.0,6.0,,,,387.0,65,55,10
55,BrianQuick,7.52998213377,7.32065651044,-1.64552998429,-1.78387838269,1.0,6.0,125.0,121.0,163.0,227.0,33,56,-23
72,TavonAustin,5.88794039917,7.24426719364,-3.2875717189,-1.86026769949,3.0,6.0,,,217.0,223.0,76,57,19
56,SteveJohnson,7.52912025829,7.09912419966,-1.64639185978,-2.00541069347,2.0,10.0,142.0,114.0,150.0,173.0,36,58,-22
59,MilesAustin,7.33719251036,7.09911706924,-1.8383196077,-2.00541782388,,,,,,,67,59,8
62,KennyBritt,7.02472063297,7.09140994938,-2.15079148509,-2.01312494375,2.0,6.0,190.0,,197.0,165.0,43,60,-17
61,JariusWright,7.14334164584,6.83691991732,-2.03217047222,-2.26761497581,2.0,5.0,,,,332.0,69,61,8
64,MarkusWheaton,6.75584354356,6.82198509991,-2.4196685745,-2.28254979322,1.0,11.0,175.0,112.0,121.0,153.0,42,62,-20
54,NateWashington,7.59105389126,6.76226516072,-1.58445822681,-2.34226973241,2.0,9.0,,,241.0,393.0,64,63,1
58,BrianHartline,7.41149964332,6.51238498997,-1.76401247474,-2.59214990316,2.0,11.0,,,244.0,383.0,66,64,2
63,JustinHunter,6.90841548283,6.378635616,-2.26709663523,-2.72589927713,2.0,4.0,238.0,,288.0,276.0,52,65,-13
60,HakeemNicks,7.21804477383,6.1128718799,-1.95746734423,-2.99166301323,2.0,4.0,,,221.0,334.0,68,66,2
65,JeremyKerley,6.64614080781,6.10647610396,-2.52937131025,-2.99805878917,2.0,5.0,,,,385.0,70,67,3
66,ColeBeasley,6.5350032421,6.09785201466,-2.64050887597,-3.00668287847,2.0,6.0,206.0,,266.0,262.0,47,68,-21
67,AustinPettis,6.49361276971,6.00336017993,-2.68189934835,-3.1011747132,,,,,,,71,69,2
69,JermaineKearse,6.210805907,5.6597082865,-2.96470621106,-3.44482660662,2.0,9.0,,,289.0,382.0,73,70,3
68,DonnieAvery,6.25046389646,5.54937395419,-2.9250482216,-3.55516093894,,,,,,,72,71,1
71,LouisMurphy,5.93319296165,5.45325839518,-3.24231915641,-3.65127649794,1.0,6.0,,,,386.0,75,72,3
80,DevinHester,5.44641089119,5.38687491693,-3.72910122687,-3.7176599762,1.0,10.0,,,,389.0,83,73,10
70,AndreRoberts,6.14908880908,5.21873490041,-3.02642330898,-3.88579999272,2.0,8.0,,,,384.0,74,74,0
74,BrandonGibson,5.67949562173,5.02541805038,-3.49601649634,-4.07911684275,,,,,,,77,75,2
99,StedmanBailey,4.79839685484,4.89445317465,-4.37711526322,-4.21008171848,1.0,6.0,,,188.0,218.0,101,76,25
73,NickToon,5.72408644446,4.87641385707,-3.4514256736,-4.22812103605,1.0,11.0,224.0,,242.0,275.0,48,77,-29
78,MarlonBrown,5.46116197424,4.86378219378,-3.71435014382,-4.24075269935,2.0,9.0,,,328.0,306.0,81,78,3
76,SantanaMoss,5.54778570338,4.85292219115,-3.62772641468,-4.25161270197,,,,,,,79,79,0
75,MikeWilliams,5.62312219575,4.73087333805,-3.55238992232,-4.37366155507,,,,,,,78,80,-2
103,JerrelJernigan,4.75109981635,4.53021499518,-4.42441230171,-4.57431989795,,,,,,,105,81,24
77,DannyAmendola,5.46958899327,4.52529579112,-3.70592312479,-4.57923910201,2.0,4.0,,,296.0,294.0,80,82,-2
79,JasonAvant,5.44844540093,4.40842520102,-3.72706671713,-4.69610969211,2.0,9.0,,,,410.0,82,83,-1
82,LanceMoore,5.26271462195,4.34652978235,-3.91279749611,-4.75800511078,,,,,,,85,84,1
81,DenariusMoore,5.35477184702,4.30743052592,-3.82074027104,-4.79710436721,,,,,,,84,85,-1
92,TravisBenjamin,4.94720418176,4.28696145168,-4.2283079363,-4.81757344144,,,,,,,95,86,9
83,RishardMatthews,5.22668465142,4.20541781537,-3.94882746665,-4.89911707776,,,,,,,86,87,-1
86,AaronDobson,5.17047363889,4.18939441787,-4.00503847918,-4.91514047525,1.0,4.0,,,,335.0,89,88,1
84,MikeBrown,5.21138767778,4.12318063257,-3.96412444029,-4.98135426056,,,,,,,87,89,-2
87,VincentBrown,5.14049771063,4.10333916275,-4.03501440743,-5.00119573038,,,,,,,90,90,0
95,TedGinnJr,4.9256300639,4.05962651659,-4.24988205417,-5.04490837654,,,,,,,97,91,6
85,KenbrellThompkins,5.18332185767,4.04150910663,-3.9921902604,-5.0630257865,,,,,,,88,92,-4
89,EricWeems,5.09225088086,4.03066412531,-4.0832612372,-5.07387076782,,,,,,,92,93,-1
90,GregLittle,5.08058158286,4.00059126266,-4.0949305352,-5.10394363047,,,,,,,93,94,-1
88,GriffWhalen,5.11422481183,3.97112488635,-4.06128730623,-5.13341000678,1.0,10.0,,,,192.0,91,95,-4
105,JoshCribbs,4.63625654514,3.95082666628,-4.53925557292,-5.15370822685,,,,,,,107,96,11
91,KrisDurham,4.96617607942,3.85479285849,-4.20933603864,-5.24974203464,,,,,,,94,97,-3
93,MarquessWilson,4.94519478899,3.8536689951,-4.23031732908,-5.25086589803,1.0,7.0,237.0,,238.0,413.0,51,98,-47
110,DamarisJohnson,4.41835752338,3.82795669517,-4.75715459468,-5.27657819796,,,,,,,112,99,13
111,BriceButler,4.41282970317,3.7063593849,-4.76268241489,-5.39817550822,,,,,,,113,100,13
101,JarrettBoykin,4.77592347124,3.67279872034,-4.39958864683,-5.43173617279,1.0,5.0,,,177.0,414.0,103,101,2
98,DavidNelson,4.80826303662,3.66235438895,-4.36724908144,-5.44218050418,,,,,,,100,102,-2
102,ChrisOwusu,4.7614292847,3.6470799719,-4.41408283336,-5.45745492123,,,,,,,104,103,1
94,SantonioHolmes,4.92980714885,3.62251769783,-4.24570496921,-5.4820171953,,,,,,,96,104,-8
96,DeVierPosey,4.8472189395,3.60607070997,-4.32829317856,-5.49846418316,,,,,,,98,105,-7
97,LeonardHankerson,4.82340989313,3.58062208534,-4.35210222493,-5.52391280779,1.0,10.0,,,282.0,221.0,99,106,-7
109,RicardoLockette,4.44455223886,3.55280494359,-4.73095987921,-5.55172994954,,,,,,,111,107,4
108,AceSanders,4.46558221007,3.51011796239,-4.70992990799,-5.59441693074,,,,,,,110,108,2
104,ChrisGivens,4.69136481076,3.49797073369,-4.48414730731,-5.60656415944,,,,,,,106,109,-3
113,TJGraham,4.37380666856,3.38610819944,-4.8017054495,-5.71842669368,,,,,,,115,110,5
100,QuintonPatton,4.77875623427,3.3561213653,-4.39675588379,-5.74841352783,1.0,10.0,,,,310.0,102,111,-9
107,KevinOgletree,4.57205253595,3.29435332405,-4.60345958212,-5.81018156908,,,,,,,109,112,-3
114,DarriusHeywardBey,4.35728837298,3.24214949707,-4.81822374509,-5.86238539606,,,,,,,116,113,3
112,JoshMorgan,4.41231019746,3.23571580952,-4.7632019206,-5.86881908361,,,,,,,114,114,0
106,DamianWilliams,4.61434867128,3.21616373793,-4.56116344678,-5.8883711552,,,,,,,108,115,-7
132,CordarrellePatterson,2.93739534011,3.21111418262,-6.23811677796,-5.8934207105,3.0,5.0,194.0,,223.0,215.0,44,116,-72
121,BrandonTate,4.16353570115,3.20567680541,-5.01197641691,-5.89885808772,,,,,,,123,117,6
119,JacobyJones,4.2041656258,3.0131540069,-4.97134649226,-6.09138088623,,,,,,,121,118,3
116,AldrickRobinson,4.28491334803,2.9726091397,-4.89059877003,-6.13192575343,,,,,,,118,119,-1
118,DaneSanzenbacher,4.23185611594,2.9466548746,-4.94365600212,-6.15788001852,,,,,,,120,120,0
117,JeffMaehl,4.26083373304,2.90590501789,-4.91467838502,-6.19862987524,1.0,8.0,,,,186.0,119,121,-2
120,MarquiseGoodwin,4.17385672404,2.89639090158,-5.00165539402,-6.20814399154,,,,,,,122,122,0
115,JoeWebb,4.35371384274,2.84436146075,-4.82179827533,-6.26017343237,,,,,,,117,123,-6
123,GregSalas,4.06404808524,2.83023854897,-5.11146403282,-6.27429634416,,,,,,,125,124,1
126,JuniorHemingway,3.88836447289,2.80432478111,-5.28714764518,-6.30021011202,,,,,,,128,125,3
122,AJJenkins,4.11147101063,2.78635416642,-5.06404110743,-6.3181807267,,,,,,,124,126,-2
124,RyanBroyles,4.06323010707,2.55441548218,-5.11228201099,-6.55011941095,,,,,,,126,127,-1
129,KeshawnMartin,3.72688012239,2.54425261182,-5.44863199567,-6.56028228131,,,,,,,131,128,3
128,AndreCaldwell,3.72754683892,2.53004611303,-5.44796527914,-6.5744887801,,,,,,,130,129,1
127,SeyiAjirotutu,3.76017995837,2.40921756349,-5.41533215969,-6.69531732963,,,,,,,129,130,-1
130,RobertMeachem,3.56552798099,2.39110022757,-5.60998413708,-6.71343466556,,,,,,,132,131,1
131,DwayneHarris,3.49283806619,2.33412130748,-5.68267405188,-6.77041358565,,,,,,,133,132,1
125,KassimOsgood,4.01357938612,2.21678174898,-5.16193273194,-6.88775314415,,,,,,,127,133,-6
